"           0286","1974","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0287","1974","0","Prestressed Concrete","6","6","7","7","7","7","7","7","6","6","6","6","6","6","6"
"           0288","1976","0","Prestressed Concrete","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6"
"           0290","1974","0","Prestressed Concrete","5","5","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0291","1974","0","Prestressed Concrete","6","6","9","9","8","8","8","8","7","7","7","7","7","7","7"
"           0292","1974","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0293","1965","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7"
"           0295","1953","0","Steel","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0296","1988","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0297","1974","0","Steel Continuous","5","5","5","5","5","5","5","8","8","7","7","7","7","7","7"
"           0298","1988","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0299","1977","0","Prestressed Concrete","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7"
"           0300","1967","0","Steel","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7"
"           0301","1990","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0302","1965","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0303","2013","0","Prestressed Concrete","6","6","6","6","6","6","6","9","9","9","9","9","9","9","8"
"           0308","1974","0","Steel","6","6","6","6","6","6","6","6","5","5","6","6","6","6","6"
"           0310","1982","0","Prestressed Concrete","8","8","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0311","1965","0","Steel Continuous","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0312","2019","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","6","6","6","9","9"
"           0313","1965","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","7","7","6"
"           0314","1934","0","Concrete","5","6","6","6","6","6","6","7","7","7","7","7","7","7","7"
"           0317","2007","0","Prestressed Concrete","6","9","9","9","9","9","9","9","8","8","8","8","7","7","7"
"           0319","1982","0","Prestressed Concrete","8","8","8","8","8","8","8","8","6","6","6","6","7","7","7"
"           0320","1967","0","Steel Continuous","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0321","1988","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0322","1988","0","Prestressed Concrete","7","7","7","7","7","7","7","8","8","7","7","7","7","7","7"
"           0325","1971","0","Steel","7","7","7","7","7","7","7","7","7","7","6","6","6","6","7"
"           0327","2014","0","Prestressed Concrete","6","5","5","5","5","5","5","5","8","8","8","8","8","6","6"
"           0328","2014","0","Prestressed Concrete","6","5","5","5","5","5","5","5","8","8","8","8","8","6","6"
"           0331","1973","0","Steel Continuous","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0332","1973","0","Steel Continuous","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0333","1977","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0334","1977","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6"
"           0336","1977","0","Prestressed Concrete","8","8","8","8","7","7","7","7","7","7","7","7","7","7","7"
"           0339","1977","0","Prestressed Concrete","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0340","1977","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0344","1977","0","Prestressed Concrete","8","8","8","8","7","7","7","7","7","7","7","7","7","7","7"
"           0345","1977","0","Prestressed Concrete","8","8","8","8","7","7","7","7","7","7","7","7","7","7","7"
"           0347","1977","0","Steel","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6"
"           0348","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0349","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0350","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6"
"           0351","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0352","1966","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0353","1950","0","Steel Continuous","7","7","7","7","7","7","7","8","8","8","8","7","7","7","7"
"           0357","1965","0","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           0358","1965","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0359","1965","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0360","1973","0","Prestressed Concrete","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"           0367","1968","0","Steel","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"           0380","1988","0","Prestressed Concrete","7","7","7","7","7","7","7","8","8","7","7","7","7","8","8"
"           0381","1954","0","Prestressed Concrete","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6"
"           0383","2014","0","Prestressed Concrete","5","4","4","3","3","3","3","8","9","9","9","9","9","9","9"
"           0384","1970","0","Wood or Timber","5","7","7","6","6","6","6","6","6","6","6","6","6","6","6"
"           0385","1974","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0386","1974","0","Prestressed Concrete","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           0387","1979","0","Steel","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6"
