"           1283","1972","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           1284","1972","Steel","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7"
"           1327","1974","Prestressed Concrete","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7"
"           1332","1972","Steel","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7"
"           1334","1972","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           1335","1972","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           1336","1972","Steel","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"           1337","1972","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           1338","1972","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           1354","1985","Steel","6","6","5","5","7","7","7","7","7","7","7","7","7","7","7"
"           1382","1956","Steel","7","7","7","7","7","7","7","7","6","6","6","6","6","6","7"
"           1385","1978","Wood or Timber","6","6","6","6","6","6","6","6","6","6","5","5","5","5","5"
"           1436","1972","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           1437","1972","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"           1453","1960","Wood or Timber","6","6","6","5","5","5","8","8","8","7","7","7","7","6","6"
"           1461","1985","Steel","5","5","5","5","5","5","5","5","5","6","6","6","6","8","8"
"           1499","1940","Wood or Timber","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"           1820","1986","Steel","3","8","8","8","8","8","8","8","8","8","8","8","8","7","7"
"           1821","1986","Steel","4","8","8","8","8","8","8","8","8","8","8","8","8","7","7"
"           1835","1980","Wood or Timber","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5"
"           1901","1969","Prestressed Concrete","4","6","6","6","6","6","6","6","6","7","7","7","7","7","7"
"           2095","1988","Steel","9","9","9","9","9","9","7","7","7","7","7","7","7","7","7"
"100210000001057","1997","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100210000001132","1974","Wood or Timber","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100210000001145","1980","Wood or Timber","7","7","7","7","7","7","7","6","6","7","7","7","7","7","7"
"100210000001148","1980","Wood or Timber","7","7","6","6","6","6","6","7","7","7","7","7","7","7","7"
"100210000001150","1982","Wood or Timber","7","7","7","6","6","6","6","6","6","6","6","7","7","7","7"
"100210000001188","1978","Steel","7","7","7","7","7","7","7","7","7","7","6","6","7","7","7"
"100310000001447","1993","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100310000001460","1995","Steel","7","7","7","7","7","7","6","6","7","7","7","7","7","7","7"
"100320000001222","1982","Steel","6","6","7","6","6","7","7","7","7","7","7","7","7","7","7"
"100320000001223","1982","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100320000001225","1982","Steel","7","7","7","7","7","6","6","7","7","7","7","7","7","7","7"
"100320000001340","1994","Wood or Timber","7","7","7","7","7","7","7","7","6","7","7","7","7","7","7"
"100320000001382","1985","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100320000001383","1982","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100320000001385","1982","Steel","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"100320000001390","1994","Wood or Timber","6","6","6","7","7","7","7","7","6","6","6","7","7","7","7"
"100320000001392","1994","Wood or Timber","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
