STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
300,1967,Steel,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
301,1990,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
302,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
303,2013,Prestressed Concrete,6,6,6,6,6,6,6,9,9,9,9,9,9,9,8
308,1974,Steel,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6
310,1982,Prestressed Concrete,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
311,1965,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
312,2019,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9
313,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6
314,1934,Concrete,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7
317,2007,Prestressed Concrete,6,9,9,9,9,9,9,9,8,8,8,8,7,7,7
319,1982,Prestressed Concrete,8,8,8,8,8,8,8,8,6,6,6,6,7,7,7
320,1967,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
321,1988,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
322,1988,Prestressed Concrete,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7
325,1971,Steel,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7
327,2014,Prestressed Concrete,6,5,5,5,5,5,5,5,8,8,8,8,8,6,6
328,2014,Prestressed Concrete,6,5,5,5,5,5,5,5,8,8,8,8,8,6,6
331,1973,Steel Continuous,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
332,1973,Steel Continuous,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
333,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
334,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
336,1977,Prestressed Concrete,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
339,1977,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
340,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
344,1977,Prestressed Concrete,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
345,1977,Prestressed Concrete,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
347,1977,Steel,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
348,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
349,1966,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
350,1966,Steel,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
