STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
1382,1956,Steel,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7
1385,1978,Wood or Timber,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5
1436,1972,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1437,1972,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1453,1960,Wood or Timber,6,6,6,5,5,5,8,8,8,7,7,7,7,6,6
1461,1985,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,8,8
1499,1940,Wood or Timber,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1820,1986,Steel,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7
1821,1986,Steel,4,8,8,8,8,8,8,8,8,8,8,8,8,7,7
1835,1980,Wood or Timber,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
1901,1969,Prestressed Concrete,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7
2095,1988,Steel,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
1.0021E+14,1997,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0021E+14,1974,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0021E+14,1980,Wood or Timber,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7
1.0021E+14,1980,Wood or Timber,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7
1.0021E+14,1982,Wood or Timber,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7
1.0021E+14,1978,Steel,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7
1.0031E+14,1993,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0031E+14,1995,Steel,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7
1.0032E+14,1982,Steel,6,6,7,6,6,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1982,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1982,Steel,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7
1.0032E+14,1994,Wood or Timber,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7
1.0032E+14,1985,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1982,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1982,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1994,Wood or Timber,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7
1.0032E+14,1994,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0032E+14,1994,Wood or Timber,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7
1.0032E+14,1994,Wood or Timber,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
1.0035E+14,1985,Wood or Timber,4,4,6,6,7,7,7,7,7,7,6,6,7,7,7
1.0035E+14,1982,Wood or Timber,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7
1.0035E+14,1985,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0051E+14,1985,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0054E+14,1980,Steel,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0054E+14,1991,Steel,7,7,7,6,6,6,6,6,5,7,6,6,7,7,7
1.0054E+14,1980,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0054E+14,1978,Steel,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7
1.0054E+14,1984,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0054E+14,1987,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.0054E+14,1986,Prestressed Concrete,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7
1.00554E+14,2004,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1.00554E+14,2004,Wood or Timber,7,7,7,6,6,6,6,6,5,5,6,6,6,6,6
1.00554E+14,2005,Wood or Timber,8,8,7,7,7,7,6,6,5,5,5,5,5,5,5
1.00554E+14,2005,Wood or Timber,8,8,7,7,7,7,6,6,5,5,6,6,6,6,6
1.00554E+14,2005,Wood or Timber,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4
